HOLEID,SAMPFROM,SAMPTO,OT_Length,DIP,AZIMUTH,EastT,NorthT,ElevT,EastM,NorthM,ElevM,EastB,NorthB,ElevB,Zn_pct_BEST,SG_Calc_D,Abbrv,OT_OreZone,Ag_ppm_BEST,As_pct_BEST,Cd_ppm_BEST,Co_ppm_BEST,Cu_ppm_BEST,Fe_pct_BEST,Mg_pct_BEST,Ni_ppm_BEST,Pb_pct_BEST,TOTAL_SULPHIDE_D,group,name,Oretyp
BZC-003,9.9,10.8,0.9,0,0,221408.7458,167139.503,933.8293333,221409.1936,167139.461,933.8142643,221409.6414,167139.4188,933.7992236,4.11,3.09,S_VS,DSF,2.5,0.133,78,123,25,10.12,0.1,322,0.12,28.01,DDH,DDH,DSM
BZC-003,10.8,11.2,0.4,0,0,221409.6414,167139.4188,933.7992236,221409.8404,167139.4,933.7925479,221410.0394,167139.3812,933.7858778,20.46,4.07,S_MS,MSA,2.5,0.386,198,273,25,24.46,0.02,693,1.49,84.76,DDH,DDH,MS
BZC-003,11.2,12.2,1,0,0,221410.0394,167139.3812,933.7858778,221410.5369,167139.3341,933.769227,221411.0343,167139.2868,933.752611,3.48,2.9,S_DS,DSF,2.5,0.062,91,88,25,4.04,0.1,230,0.07,13.95,DDH,DDH,DSM
BZC-003,12.2,13.2,1,0,0,221411.0343,167139.2868,933.752611,221411.5318,167139.2393,933.7360299,221412.0293,167139.1917,933.7194837,2.76199446,2.885714286,S_DS,DSF,2.5,0.066786704,70,90,25,3.890415512,0.10598338,243,0.058033241,12.54390582,DDH,DDH,DSM
BZC-003,13.2,14.2,1,0,0,221412.0293,167139.1917,933.7194837,221412.5267,167139.144,933.7029724,221413.0241,167139.096,933.686496,6.382492669,3.087692308,S_DS,DSF,2.5,0.139692082,186,137,25,7.878123167,0.095630499,356,0.567302053,27.09032258,DDH,DDH,DSM
BZC-003,14.2,14.8,0.6,0,0,221413.0241,167139.096,933.686496,221413.3226,167139.0672,933.6766269,221413.621,167139.0383,933.6667704,7.99,3.15,S_DS,DSF,2.5,0.167,237,156,25,9.48,0.09,397,0.77,33.16,DDH,DDH,DSM
BZC-003,14.8,15.8,1,0,0,221413.621,167139.0383,933.6667704,221414.1184,167138.9901,933.6503707,221414.6158,167138.9417,933.6340059,43.10135678,3.908888889,S_MS,MSA,2.5,0.170433166,1616,234,25,7.717286432,0.072321608,520,6.773035176,88.64473367,DDH,DDH,MS
BZC-003,15.8,16.8,1,0,0,221414.6158,167138.9417,933.6340059,221415.1132,167138.8931,933.617676,221415.6105,167138.8444,933.601381,37.80400563,3.990588235,S_MS,MSA,2.5,0.170984643,1826,226,25,8.441581776,0.033688252,518,7.31182237,82.92728436,DDH,DDH,MS
BZC-003,16.8,17.8,1,0,0,221415.6105,167138.8444,933.601381,221416.1079,167138.7955,933.5851209,221416.6052,167138.7464,933.5688957,34.55006846,4.054444444,S_MS,MSA,3.382396088,0.220254768,1319,236,25,13.25644499,0.02,556,7.599378973,88.7482445,DDH,DDH,MS
BZC-003,17.8,18.8,1,0,0,221416.6052,167138.7464,933.5688957,221417.1025,167138.6972,933.5527054,221417.5998,167138.6479,933.5365499,29.72905909,3.726888889,S_MS,MSA,8.479203123,0.20224364,888,259,25,9.98527258,0.040534392,614,5.252643694,71.82659847,DDH,DDH,MS
BZC-003,18.8,19.8,1,0,0,221417.5998,167138.6479,933.5365499,221418.0971,167138.5984,933.5204294,221418.5943,167138.5487,933.5043437,29.08374346,3.478947368,S_MS,MSA,17.66099476,0.200649215,1152,241,25,4.627958115,0.02486911,581,15.43133508,71.11340314,DDH,DDH,MS
BZC-003,19.8,20.8,1,0,0,221418.5943,167138.5487,933.5043437,221419.0916,167138.4989,933.4882929,221419.5888,167138.4489,933.472277,15.79513595,3.58,S_VS,MSA,2.5,0.233294562,246,229,25,9.749093656,0.350800604,562,1.540075529,46.26459215,DDH,DDH,MS
BZC-003,20.8,21.7,0.9,0,0,221419.5888,167138.4489,933.472277,221420.0363,167138.4038,933.4578926,221420.4838,167138.3585,933.4435364,27.09,3.94,S_MS,MSA,2.5,0.293,239,328,25,18.15,0.99,789,2.39,82.13,DDH,DDH,MS
BZC-003,21.7,22.7,1,0,0,221420.4838,167138.3585,933.4435364,221420.981,167138.3081,933.4276181,221421.4782,167138.2576,933.4117348,2.808421053,2.899393939,W_LLL,DSF,2.5,0.029947368,42,31,25,1.695789474,7.984210526,75,0.611052632,8.534736842,DDH,DDH,DSM
BZC-003,22.7,23.5,0.8,0,0,221421.4782,167138.2576,933.4117348,221421.8759,167138.217,933.3990533,221422.2737,167138.1763,933.3863941,7.16,2.99,S_VS,DSF,2.5,0.077,107,76,25,4.14,0.86,196,1.59,21.4,DDH,DDH,DSM
BZC-003,23.5,24.5,1,0,0,221422.2737,167138.1763,933.3863941,221422.7708,167138.1253,933.3706015,221423.2679,167138.0742,933.3548438,0.93,2.83,S_NM,HOSTABL,2.5,0.019,22,27,25,2.46,1.89,85,0.24,6.95,DDH,DDH,HOST
BZC-004,1.45,2.45,1,0,0,221387.3074,167147.433,932.0754357,221387.5532,167147.6869,931.7216726,221387.799,167147.9406,931.3678478,7.84,3.23,L_DS,DSF,2.5,0.169,119,191,25,12.21,4.91,523,0.45,38.44,DDH,DDH,DSM
BZC-004,2.45,3.084082157,0.634082157,0,0,221387.799,167147.9406,931.3678478,221387.9549,167148.1015,931.1434619,221388.1108,167148.2622,930.9190512,7.84,3.23,L_DS,DSF,2.5,0.169,119,191,25,12.21,4.91,523,0.45,38.44,DDH,DDH,DSM
BZC-004,3.084082157,3.95,0.865917843,0,0,221388.1108,167148.2622,930.9190512,221388.3237,167148.4817,930.6125505,221388.5367,167148.7011,930.3060035,6.599489802,3.838808501,L_MS,MSA,7.914925466,0.212319404,155,183,25,27.23395684,1.897332377,472,0.814276804,69.28538452,DDH,DDH,MS
BZC-004,3.95,5.25,1.3,0,0,221388.5367,167148.7011,930.3060035,221388.8564,167149.0303,929.8456988,221389.1763,167149.3592,929.3852899,5.04,3.07,L_DS,DSH,2.5,0.099,97,116,25,8.97,6.73,288,0.34,27.18,DDH,DDH,DSM
BZC-004,5.25,6.65,1.4,0,0,221389.1763,167149.3592,929.3852899,221389.5209,167149.7133,928.8893485,221389.8655,167150.067,928.3932865,6.52,3.79,L_MS,MSA,7,0.223,150,176,25,26.46,2.01,451,0.78,67.46,DDH,DDH,MS
BZC-004,6.65,7.95,1.3,0,0,221389.8655,167150.067,928.3932865,221390.1856,167150.3953,927.9325494,221390.5058,167150.7233,927.4717083,13.31,3.16,L_DS,DSH,6,0.071,295,128,25,6.91,4.64,292,1.26,36.14,DDH,DDH,DSM
BZC-004,7.95,9.05,1.1,0,0,221390.5058,167150.7233,927.4717083,221390.7768,167151.0007,927.0816846,221391.0478,167151.278,926.6915864,25.85,3.76,L_MS,MSA,2.5,0.471,200,446,25,15.83,0.14,1144,1.61,74.4,DDH,DDH,MS
BZC-004,9.05,9.55,0.5,0,0,221391.0478,167151.278,926.6915864,221391.171,167151.4039,926.5142445,221391.2942,167151.5299,926.3368871,0.05,2.76,W_LLL,DSF,2.5,0.0025,5,5,25,0.38,0.88,14,0.01,0.9,DDH,DDH,DSM
BZC-004,9.55,10.55,1,0,0,221391.2942,167151.5299,926.3368871,221391.5407,167151.7816,925.9821264,221391.7873,167152.0333,925.6273041,0.05,2.76,W_LLL,HOSTF,2.5,0.0025,5,5,25,0.38,0.88,14,0.01,0.9,DDH,DDH,HOST
BZC-004,12.55,13.55,1,0,0,221392.7738,167153.0385,924.2074004,221393.0206,167153.2895,923.8522708,221393.2674,167153.5404,923.4970799,0.1019786,2.762121212,W_LLL,HOSTF,0.879125861,0.000879126,1,1,8,0.19340769,0.232089227,6,0.014066014,0.583739572,DDH,DDH,HOST
BZC-004,13.55,14.55,1,0,0,221393.2674,167153.5404,923.4970799,221393.5142,167153.7911,923.1418275,221393.7611,167154.0417,922.7865137,4.136354237,2.989230769,W_LLL,HOSTF,2.5,0.014666271,19,26,25,0.873838983,0.735584746,77,5.836244068,14.78234407,DDH,DDH,HOST
BZC-004,14.55,15.5,0.95,0,0,221393.7611,167154.0417,922.7865137,221393.9957,167154.2796,922.4489088,221394.2303,167154.5175,922.1112791,0.46,2.77,W_LLL,HOSTF,2.5,0.0025,5,5,25,0.44,0.81,15,0.28,1.95,DDH,DDH,HOST
BZC-005,1,1.4,0.4,0,0,221376.3841,167146.9499,932.7792936,221376.3842,167147.076,932.6240579,221376.3843,167147.2021,932.4688575,3.6,3.65,L_MS,MSA,2.5,0.176,57,164,25,25.09,3.76,425,0.33,59.65,DDH,DDH,MS
BZC-005,1.4,2.4,1,0,0,221376.3843,167147.2021,932.4688575,221376.3845,167147.5177,932.0810105,221376.3848,167147.8335,931.6933838,4.22,2.96,L_BMB,DSO,2.5,0.044,67,73,25,5.47,8.48,164,0.31,18.4,DDH,DDH,DSM
