x,y,z,LITHO,Grade_pct,LITHODESC
31.5,0.5,0.5,1,-99.0,Sandstone
39.5,0.5,0.5,1,0.293,Sandstone
54.5,0.5,0.5,1,0.783,Sandstone
65.5,0.5,0.5,1,-99.0,Sandstone
83.5,0.5,0.5,1,0.436,Sandstone
84.5,0.5,0.5,1,0.193,Sandstone
88.5,0.5,0.5,1,0.567,Sandstone
89.5,0.5,0.5,1,0.247,Sandstone
90.5,0.5,0.5,1,0.205,Sandstone
93.5,0.5,0.5,1,0.984,Sandstone
19.5,1.5,0.5,2,1.843,Shale
23.5,1.5,0.5,2,15.018,Shale
27.5,1.5,0.5,2,9.101,Shale
45.5,1.5,0.5,1,0.935,Sandstone
49.5,1.5,0.5,1,0.902,Sandstone
55.5,1.5,0.5,1,0.69,Sandstone
78.5,1.5,0.5,1,0.71,Sandstone
86.5,1.5,0.5,1,0.191,Sandstone
98.5,1.5,0.5,1,0.982,Sandstone
0.5,2.5,0.5,2,0.18,Shale
9.5,2.5,0.5,2,1.11,Shale
17.5,2.5,0.5,2,0.289,Shale
49.5,2.5,0.5,1,0.854,Sandstone
50.5,2.5,0.5,1,0.671,Sandstone
64.5,2.5,0.5,1,0.461,Sandstone
65.5,2.5,0.5,1,0.507,Sandstone
69.5,2.5,0.5,1,0.463,Sandstone
0.5,3.5,0.5,2,0.31,Shale
17.5,3.5,0.5,2,0.793,Shale
19.5,3.5,0.5,2,1.11,Shale
24.5,3.5,0.5,2,8.807,Shale
45.5,3.5,0.5,1,0.42,Sandstone
95.5,3.5,0.5,1,0.685,Sandstone
96.5,3.5,0.5,1,0.244,Sandstone
97.5,3.5,0.5,1,0.864,Sandstone
2.5,4.5,0.5,2,0.268,Shale
9.5,4.5,0.5,2,1.027,Shale
12.5,4.5,0.5,2,1.173,Shale
17.5,4.5,0.5,2,1.3,Shale
30.5,4.5,0.5,1,0.12,Sandstone
56.5,4.5,0.5,1,0.679,Sandstone
69.5,4.5,0.5,1,0.552,Sandstone
81.5,4.5,0.5,1,0.914,Sandstone
18.5,5.5,0.5,2,1.018,Shale
22.5,5.5,0.5,2,12.041,Shale
48.5,5.5,0.5,1,0.351,Sandstone
68.5,5.5,0.5,1,0.595,Sandstone
74.5,5.5,0.5,1,0.525,Sandstone
83.5,5.5,0.5,1,0.333,Sandstone
88.5,5.5,0.5,1,0.975,Sandstone
10.5,6.5,0.5,2,1.883,Shale
25.5,6.5,0.5,2,12.531,Shale
49.5,6.5,0.5,1,0.344,Sandstone
60.5,6.5,0.5,1,0.122,Sandstone
66.5,6.5,0.5,1,0.432,Sandstone
91.5,6.5,0.5,1,0.946,Sandstone
98.5,6.5,0.5,1,0.714,Sandstone
5.5,7.5,0.5,2,0.339,Shale
6.5,7.5,0.5,2,0.396,Shale
15.5,7.5,0.5,2,0.477,Shale
21.5,7.5,0.5,2,8.055,Shale
61.5,7.5,0.5,1,0.103,Sandstone
62.5,7.5,0.5,1,0.032,Sandstone
68.5,7.5,0.5,1,0.251,Sandstone
19.5,8.5,0.5,2,2.627,Shale
22.5,8.5,0.5,2,7.317,Shale
39.5,8.5,0.5,1,0.054,Sandstone
54.5,8.5,0.5,1,0.253,Sandstone
55.5,8.5,0.5,1,0.717,Sandstone
56.5,8.5,0.5,1,0.696,Sandstone
60.5,8.5,0.5,1,0.073,Sandstone
67.5,8.5,0.5,1,0.627,Sandstone
72.5,8.5,0.5,1,0.909,Sandstone
95.5,8.5,0.5,1,0.957,Sandstone
97.5,8.5,0.5,1,0.924,Sandstone
20.5,9.5,0.5,2,0.982,Shale
30.5,9.5,0.5,1,0.222,Sandstone
46.5,9.5,0.5,1,0.399,Sandstone
62.5,9.5,0.5,1,0.131,Sandstone
79.5,9.5,0.5,1,0.265,Sandstone
90.5,9.5,0.5,1,0.881,Sandstone
92.5,9.5,0.5,1,0.784,Sandstone
2.5,10.5,0.5,2,0.395,Shale
3.5,10.5,0.5,2,0.147,Shale
29.5,10.5,0.5,1,0.247,Sandstone
30.5,10.5,0.5,1,0.116,Sandstone
33.5,10.5,0.5,1,0.07,Sandstone
34.5,10.5,0.5,1,0.115,Sandstone
42.5,10.5,0.5,1,0.343,Sandstone
57.5,10.5,0.5,1,0.84,Sandstone
66.5,10.5,0.5,1,0.856,Sandstone
93.5,10.5,0.5,1,0.93,Sandstone
99.5,10.5,0.5,1,0.388,Sandstone
54.5,11.5,0.5,1,0.78,Sandstone
66.5,11.5,0.5,1,0.241,Sandstone
75.5,11.5,0.5,1,0.116,Sandstone
81.5,11.5,0.5,1,0.465,Sandstone
94.5,11.5,0.5,1,0.962,Sandstone
97.5,11.5,0.5,1,0.738,Sandstone
20.5,12.5,0.5,2,1.734,Shale
41.5,12.5,0.5,1,0.177,Sandstone
48.5,12.5,0.5,1,0.643,Sandstone
59.5,12.5,0.5,1,0.706,Sandstone
60.5,12.5,0.5,1,0.317,Sandstone
78.5,12.5,0.5,1,0.127,Sandstone
87.5,12.5,0.5,1,0.673,Sandstone
91.5,12.5,0.5,1,0.916,Sandstone
97.5,12.5,0.5,1,0.746,Sandstone
10.5,13.5,0.5,2,0.248,Shale
38.5,13.5,0.5,1,0.425,Sandstone
51.5,13.5,0.5,1,0.709,Sandstone
54.5,13.5,0.5,1,0.774,Sandstone
58.5,13.5,0.5,1,0.718,Sandstone
63.5,13.5,0.5,1,0.608,Sandstone
80.5,13.5,0.5,1,0.286,Sandstone
95.5,13.5,0.5,1,0.762,Sandstone
11.5,14.5,0.5,2,0.785,Shale
12.5,14.5,0.5,2,2.246,Shale
39.5,14.5,0.5,1,0.469,Sandstone
49.5,14.5,0.5,1,0.575,Sandstone
55.5,14.5,0.5,1,0.858,Sandstone
58.5,14.5,0.5,1,0.949,Sandstone
65.5,14.5,0.5,1,0.142,Sandstone
68.5,14.5,0.5,1,0.494,Sandstone
77.5,14.5,0.5,1,0.831,Sandstone
85.5,14.5,0.5,1,0.213,Sandstone
10.5,15.5,0.5,2,0.14,Shale
27.5,15.5,0.5,2,9.885,Shale
31.5,15.5,0.5,1,0.67,Sandstone
87.5,15.5,0.5,1,0.809,Sandstone
96.5,15.5,0.5,1,0.846,Sandstone
7.5,16.5,0.5,2,0.537,Shale
21.5,16.5,0.5,2,1.629,Shale
